latitude,longitude,timestamp,total_lane,current_lane,lane_width,deviation,departure_warning,left_obj_warning,red_obj_count,yellow_obj_count,lane_dep_visual_warning,lane_dep_audio_warning,object_detection_visual_warning,object_detection_audio_warning,shoulder_left_type,shoulder_left_width_ft,shoulder_right_type,shoulder_right_width_ft,map_available,speed
41.98673622797517,-92.58162532597407,1732214760,1,1,16.0,3.4,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98673843435256,-92.58162532073264,1732214760,1,1,16.0,3.4,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986740523123984,-92.58162530773494,1732214760,1,1,16.0,3.4,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986742522426034,-92.58162532425344,1732214760,1,1,16.0,3.4,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986744439485626,-92.58162531737395,1732214760,1,1,16.0,3.4,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.9867463000385,-92.58162535586821,1732214761,1,1,16.0,3.4,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98674806392722,-92.58162540277081,1732214761,1,1,16.0,3.4,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986749805458494,-92.58162540501941,1732214761,1,1,16.0,3.4,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98675151886081,-92.58162543028465,1732214761,1,1,16.0,3.4,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98675315432422,-92.581625474664,1732214761,1,1,16.0,3.4,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98675470956447,-92.58162548131598,1732214761,1,1,16.0,3.4,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98675621659369,-92.58162546953885,1732214761,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98675769255756,-92.58162552498514,1732214761,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98675910867822,-92.5816255466431,1732214761,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986760496635895,-92.581625582665,1732214761,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98676184292959,-92.58162559600402,1732214762,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.9867631111903,-92.58162560203843,1732214762,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98676431157359,-92.58162563081909,1732214762,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98676546486156,-92.58162566816469,1732214762,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98676652416163,-92.58162567652745,1732214762,1,1,16.0,3.25,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986767492446404,-92.58162564889643,1732214762,1,1,16.0,3.25,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.9867683501999,-92.58162565173794,1732214762,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98676916764268,-92.58162571120832,1732214762,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986769927847554,-92.58162575342973,1732214762,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677058596691,-92.58162573904269,1732214762,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677119178398,-92.58162569547652,1732214763,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986771729477645,-92.58162566306505,1732214763,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677218651926,-92.58162566460517,1732214763,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677265485687,-92.58162570527188,1732214763,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677298129863,-92.58162571652764,1732214763,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986773247203736,-92.58162571367379,1732214763,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986773431453486,-92.581625696479,1732214763,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677355387388,-92.58162568368901,1732214763,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677363679983,-92.58162568669322,1732214763,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677363770736,-92.58162570090094,1732214763,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986773576426664,-92.58162570896938,1732214764,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677351765835,-92.58162568491178,1732214764,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986773559405336,-92.58162568005604,1732214764,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677362926453,-92.58162569185691,1732214764,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677359819159,-92.58162569766927,1732214764,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677357594414,-92.58162570138202,1732214764,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677358085481,-92.58162570510211,1732214764,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986773588524706,-92.58162568850709,1732214764,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986773599290025,-92.58162569277705,1732214764,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986773576933956,-92.58162568256603,1732214764,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677356620979,-92.58162566658716,1732214765,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986773581165394,-92.58162566797353,1732214765,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677359536677,-92.58162567752535,1732214765,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677360713397,-92.5816257106692,1732214765,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677359563701,-92.58162570881305,1732214765,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677359946425,-92.58162570442227,1732214765,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677360681415,-92.5816256985285,1732214765,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677360711206,-92.58162569959684,1732214765,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986773588291534,-92.58162569489927,1732214765,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677358453048,-92.58162567576014,1732214765,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986773603584766,-92.5816256680831,1732214766,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.9867736003741,-92.5816256729822,1732214766,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986773582857666,-92.58162565984004,1732214766,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677360153676,-92.58162569585596,1732214766,1,1,16.0,3.0,0,0,2,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677360158795,-92.58162568244235,1732214766,1,1,16.0,3.0,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677360339074,-92.58162569034363,1732214766,1,1,16.0,3.0,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677360241863,-92.58162567896925,1732214766,1,1,16.0,3.0,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677360770342,-92.58162567636583,1732214766,1,1,16.0,3.0,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677360369473,-92.58162565141596,1732214766,1,1,16.0,3.0,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677361171557,-92.58162566583013,1732214766,1,1,16.0,3.0,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677359434335,-92.58162564752135,1732214767,1,1,16.0,3.0,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.986773594381106,-92.58162564379941,1732214767,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
41.98677360152225,-92.58162563010218,1732214767,1,1,16.0,3.25,0,0,1,0,0,1,1,1,2,1.0,2,1.0,1,30
